NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
TRABAJO SOCIAL,TRABAJO SOCIAL,10,Semestral,3844700,3222222,62626111.71571232
ACUICULTURA,PESCA,10,Semestral,519688,3000000,8465169.908007152
ADMINISTRACION EN FINANZAS Y NEGOCIOS INTERNACIONALES,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",10,Semestral,812000,3141667,13226624.36943283
ADMINISTRACION EN SALUD,GESTION Y ADMINISTRACION,10,Semestral,812000,3362637,13226624.36943283
BACTERIOLOGIA,TECNOLOGIA DE DIAGNOSTICO Y TRATAMIENTO MEDICO,10,Semestral,507067,3583333,8259587.117161572
BIOLOGIA,BIOLOGIA,10,Semestral,520751,3444444,8482485.057889797
DERECHO,DERECHO,10,Semestral,543077,2761905,8846152.07226413
ENFERMERIA,MEDICINA,8,Semestral,541777,3500000,6403611.023757658
ESTADISTICA,ESTADISTICA,9,Semestral,525064,3625000,7330919.385550893
FISICA,FISICA,10,Semestral,524959,3166667,8551028.943784593
GEOGRAFIA,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO NO CLASIFICADAS EN OTRA PARTE,10,Semestral,506556,3466667,8251263.465618739
INGENIERIA AGRONOMICA,PRODUCCION AGRICOLA Y GANADERA,10,Semestral,497225,3391667,8099271.307994136
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,530940,3809524,8648453.13141215
INGENIERIA DE ALIMENTOS,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,497022,3809524,8095964.651901778
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,10,Semestral,812000,4157197,13226624.36943283
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,506082,3809524,8243542.505087814
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,516696,4138889,8416433.38077397
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,CIENCIAS DE LA EDUCACION,10,Semestral,508549,3021412,8283727.335530413
LICENCIATURA EN CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION,10,Semestral,494503,3021412,8054932.796253254
LICENCIATURA EN EDUCACION ARTISTICA,CIENCIAS DE LA EDUCACION,10,Semestral,579582,3021412,9440780.055769233
"LICENCIATURA EN EDUCACION FISICA, RECREACION Y DEPORTES",CIENCIAS DE LA EDUCACION,10,Semestral,511373,3021412,8329727.319790608
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,10,Semestral,509301,3021412,8295976.62312378
LICENCIATURA EN INFORMATICA,CIENCIAS DE LA EDUCACION,10,Semestral,522804,3021412,8515926.264577538
LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,CIENCIAS DE LA EDUCACION,10,Semestral,544206,3021412,8864542.292600445
